序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
59,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,邱县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
60,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,鸡泽县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
61,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,广平县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
62,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,馆陶县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
63,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,魏县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
64,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,曲周县,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
65,地区级,2020/2/9,2020/2/10,中国,河北省,邯郸市,武安市,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
66,城市级,2020/2/9,2020/2/10,中国,河北省,邯郸市,,,,,,27,,2,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
67,地区级,2020/2/9,2020/2/10,中国,河北省,邢台市,桥东区,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
68,地区级,2020/2/9,2020/2/10,中国,河北省,邢台市,桥西区,,,,,,,,,,,河北卫健委,2020/2/10 9:00,"2020年2月9日0—24时，河北省报告新型冠状病毒肺炎新增确诊病例12例，其中，保定市5例、张家口3例、廊坊市2例、石家庄市1例、唐山市1例。新增治愈出院病例5例，其中，沧州市2例、承德市1例、张家口市1例、廊坊市1例。新增疑似病例9例，其中，秦皇岛市5例、承德市1例、张家口市1例、沧州市1例、邢台市1例。

　　截至2月9日24时，河北省累计报告确诊病例218例，其中死亡2例，现有重症病例22例，累计治愈出院35例。确诊病例中，唐山市28例、沧州市28例、邯郸市27例、保定市26例、石家庄市25例、廊坊市24例、邢台市21例、张家口市17例、衡水市8例、承德市7例、秦皇岛市7例；死亡病例中，沧州市1例、邢台市1例；重症病例中，沧州市6例、张家口市4例、石家庄市3例、唐山市2例、保定市2例、邯郸市2例、秦皇岛市1例、衡水市1例、邢台市1例；出院病例中，保定市8例、沧州市8例、廊坊市5例、邢台市4例、石家庄市3例、张家口市2例、唐山市2例、邯郸市2例、承德市1例。现有疑似病例61例。

　　目前累计追踪到密切接触者7691人，当日解除隔离医学观察227人，现有3688人正在接受隔离医学观察。",http://wsjkw.hebei.gov.cn/content/content_45/397760.jhtml,,,,2020/2/10 11:00,手动,莫纯谊,是,######,手动,莫纯谊,核查通过,,,,,,,
